"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","run_id","condition","recorded_at","source_code_version","ip","user_agent","device","browser","browser_version","platform","platform_version","rt","response","question_order","view_history","stimulus","trial_name","slider_start"
"true","false","[]","[]","[]","preload","0","239","0.0-0.0","27","1","2022-04-03 11:45:51","c79472ad15d8b617a4d57d5bf56a810f","124.122.192.20","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/99.0.4844.84 Safari/537.36","Macintosh","Chrome","99.0.4844.84","OS X","10_15_7","","","","","","",""
"","","","","","survey-multi-choice","1","3037","0.0-1.0-0.0","27","1","2022-04-03 11:45:51","c79472ad15d8b617a4d57d5bf56a810f","124.122.192.20","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/99.0.4844.84 Safari/537.36","Macintosh","Chrome","99.0.4844.84","OS X","10_15_7","2797.199999988079","{""Gender"":""Male""}","[0]","","","",""
"","","","","","survey-text","2","6103","0.0-1.0-1.0","27","1","2022-04-03 11:45:51","c79472ad15d8b617a4d57d5bf56a810f","124.122.192.20","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/99.0.4844.84 Safari/537.36","Macintosh","Chrome","99.0.4844.84","OS X","10_15_7","3064.800000011921","{""Age"":""23""}","","","","",""
"","","","","","instructions","3","223287","0.0-1.0-2.0","27","1","2022-04-03 11:45:51","c79472ad15d8b617a4d57d5bf56a810f","124.122.192.20","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/99.0.4844.84 Safari/537.36","Macintosh","Chrome","99.0.4844.84","OS X","10_15_7","217194.60000000894","","","[{""page_index"":0,""viewing_time"":1787.7999999970198},{""page_index"":1,""viewing_time"":6649.100000008941},{""page_index"":2,""viewing_time"":21659.20000000298},{""page_index"":3,""viewing_time"":8524.699999988079},{""page_index"":4,""viewing_time"":15263.800000011921},{""page_index"":5,""viewing_time"":8813},{""page_index"":6,""viewing_time"":13343.699999988079},{""page_index"":7,""viewing_time"":4580.4000000059605},{""page_index"":6,""viewing_time"":10916.59999999404},{""page_index"":7,""viewing_time"":41582.80000001192},{""page_index"":8,""viewing_time"":16938},{""page_index"":9,""viewing_time"":9320.09999999404},{""page_index"":10,""viewing_time"":4269.0999999940395},{""page_index"":11,""viewing_time"":45401.5},{""page_index"":12,""viewing_time"":6157.9000000059605},{""page_index"":13,""viewing_time"":1986}]","","",""
"","","","","","html-keyboard-response","4","223693","0.0-2.0-0.0-0.0-0.0","27","1","2022-04-03 11:45:51","c79472ad15d8b617a4d57d5bf56a810f","124.122.192.20","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/99.0.4844.84 Safari/537.36","Macintosh","Chrome","99.0.4844.84","OS X","10_15_7","null","null","","","<p style=""font-size:64px;"">+</p>","O_6_3_P",""
"","","","","","html-keyboard-response","5","224950","0.0-2.0-0.0-0.0-1.0","27","1","2022-04-03 11:45:51","c79472ad15d8b617a4d57d5bf56a810f","124.122.192.20","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/99.0.4844.84 Safari/537.36","Macintosh","Chrome","99.0.4844.84","OS X","10_15_7","null","null","","","
                        <div class=orange>
                        <div class=""centered"">
                            <p style=""font-size: 24px""><b>55%</b></p>
                        </div>","O_6_3_P",""
"","","","","","html-keyboard-response","6","225359","0.0-2.0-0.0-0.0-0.1","27","1","2022-04-03 11:45:51","c79472ad15d8b617a4d57d5bf56a810f","124.122.192.20","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/99.0.4844.84 Safari/537.36","Macintosh","Chrome","99.0.4844.84","OS X","10_15_7","null","null","","","<p style=""font-size:64px;"">+</p>","O_6_3_P",""
"","","","","","html-keyboard-response","7","226614","0.0-2.0-0.0-0.0-1.1","27","1","2022-04-03 11:45:51","c79472ad15d8b617a4d57d5bf56a810f","124.122.192.20","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/99.0.4844.84 Safari/537.36","Macintosh","Chrome","99.0.4844.84","OS X","10_15_7","null","null","","","
                        <div class=orange>
                        <div class=""centered"">
                            <p style=""font-size: 24px""><b>53%</b></p>
                        </div>","O_6_3_P",""
"","","","","","html-keyboard-response","8","227019","0.0-2.0-0.0-0.0-0.2","27","1","2022-04-03 11:45:51","c79472ad15d8b617a4d57d5bf56a810f","124.122.192.20","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/99.0.4844.84 Safari/537.36","Macintosh","Chrome","99.0.4844.84","OS X","10_15_7","null","null","","","<p style=""font-size:64px;"">+</p>","O_6_3_P",""
"","","","","","html-keyboard-response","9","228276","0.0-2.0-0.0-0.0-1.2","27","1","2022-04-03 11:45:51","c79472ad15d8b617a4d57d5bf56a810f","124.122.192.20","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/99.0.4844.84 Safari/537.36","Macintosh","Chrome","99.0.4844.84","OS X","10_15_7","null","null","","","
                        <div class=pink>
                        <div class=""centered"">
                            <p style=""font-size: 24px""><b>52%</b></p>
                        </div>","O_6_3_P",""
"","","","","","html-keyboard-response","10","228684","0.0-2.0-0.0-0.0-0.3","27","1","2022-04-03 11:45:51","c79472ad15d8b617a4d57d5bf56a810f","124.122.192.20","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/99.0.4844.84 Safari/537.36","Macintosh","Chrome","99.0.4844.84","OS X","10_15_7","null","null","","","<p style=""font-size:64px;"">+</p>","O_6_3_P",""
