"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","run_id","condition","recorded_at","source_code_version","ip","user_agent","device","browser","browser_version","platform","platform_version","rt","response","question_order","view_history","stimulus","trial_name","slider_start"
"true","false","[]","[]","[]","preload","0","205","0.0-0.0","18","1","2022-04-01 23:15:51","c79472ad15d8b617a4d57d5bf56a810f","116.250.248.47","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/99.0.4844.74 Safari/537.36 Edg/99.0.1150.55","WebKit","Edge","99.0.1150.55","Windows","10.0","","","","","","",""
"","","","","","survey-multi-choice","1","2746","0.0-1.0-0.0","18","1","2022-04-01 23:15:51","c79472ad15d8b617a4d57d5bf56a810f","116.250.248.47","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/99.0.4844.74 Safari/537.36 Edg/99.0.1150.55","WebKit","Edge","99.0.1150.55","Windows","10.0","2538.5","{""Gender"":""Female""}","[0]","","","",""
"","","","","","survey-text","2","9209","0.0-1.0-1.0","18","1","2022-04-01 23:15:51","c79472ad15d8b617a4d57d5bf56a810f","116.250.248.47","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/99.0.4844.74 Safari/537.36 Edg/99.0.1150.55","WebKit","Edge","99.0.1150.55","Windows","10.0","6460.10000000149","{""Age"":""23""}","","","","",""
"","","","","","instructions","3","210265","0.0-1.0-2.0","18","1","2022-04-01 23:15:51","c79472ad15d8b617a4d57d5bf56a810f","116.250.248.47","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/99.0.4844.74 Safari/537.36 Edg/99.0.1150.55","WebKit","Edge","99.0.1150.55","Windows","10.0","201055","","","[{""page_index"":0,""viewing_time"":12293.90000000596},{""page_index"":1,""viewing_time"":22496.39999999851},{""page_index"":2,""viewing_time"":23336.19999999553},{""page_index"":3,""viewing_time"":9137},{""page_index"":4,""viewing_time"":33038.30000000447},{""page_index"":5,""viewing_time"":14407.69999999553},{""page_index"":6,""viewing_time"":9017.90000000596},{""page_index"":7,""viewing_time"":19078.29999999702},{""page_index"":8,""viewing_time"":1615.7000000029802},{""page_index"":7,""viewing_time"":2504.5999999940395},{""page_index"":8,""viewing_time"":3385.3000000044703},{""page_index"":9,""viewing_time"":5782.60000000149},{""page_index"":10,""viewing_time"":13768.89999999851},{""page_index"":9,""viewing_time"":5255.10000000149},{""page_index"":10,""viewing_time"":1584.2999999970198},{""page_index"":11,""viewing_time"":14383.20000000298},{""page_index"":12,""viewing_time"":7464.5},{""page_index"":13,""viewing_time"":2504.5}]","","",""
"","","","","","html-keyboard-response","4","210668","0.0-2.0-0.0-0.0-0.0","18","1","2022-04-01 23:15:51","c79472ad15d8b617a4d57d5bf56a810f","116.250.248.47","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/99.0.4844.74 Safari/537.36 Edg/99.0.1150.55","WebKit","Edge","99.0.1150.55","Windows","10.0","null","null","","","<p style=""font-size:64px;"">+</p>","P_2_4_O",""
"","","","","","html-keyboard-response","5","211921","0.0-2.0-0.0-0.0-1.0","18","1","2022-04-01 23:15:51","c79472ad15d8b617a4d57d5bf56a810f","116.250.248.47","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/99.0.4844.74 Safari/537.36 Edg/99.0.1150.55","WebKit","Edge","99.0.1150.55","Windows","10.0","null","null","","","
                        <div class=orange>
                        <div class=""centered"">
                            <p style=""font-size: 24px""><b>52%</b></p>
                        </div>","P_2_4_O",""
"","","","","","html-keyboard-response","6","212323","0.0-2.0-0.0-0.0-0.1","18","1","2022-04-01 23:15:51","c79472ad15d8b617a4d57d5bf56a810f","116.250.248.47","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/99.0.4844.74 Safari/537.36 Edg/99.0.1150.55","WebKit","Edge","99.0.1150.55","Windows","10.0","null","null","","","<p style=""font-size:64px;"">+</p>","P_2_4_O",""
"","","","","","html-keyboard-response","7","213575","0.0-2.0-0.0-0.0-1.1","18","1","2022-04-01 23:15:51","c79472ad15d8b617a4d57d5bf56a810f","116.250.248.47","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/99.0.4844.74 Safari/537.36 Edg/99.0.1150.55","WebKit","Edge","99.0.1150.55","Windows","10.0","null","null","","","
                        <div class=pink>
                        <div class=""centered"">
                            <p style=""font-size: 24px""><b>54%</b></p>
                        </div>","P_2_4_O",""
"","","","","","html-keyboard-response","8","213977","0.0-2.0-0.0-0.0-0.2","18","1","2022-04-01 23:15:51","c79472ad15d8b617a4d57d5bf56a810f","116.250.248.47","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/99.0.4844.74 Safari/537.36 Edg/99.0.1150.55","WebKit","Edge","99.0.1150.55","Windows","10.0","null","null","","","<p style=""font-size:64px;"">+</p>","P_2_4_O",""
"","","","","","html-keyboard-response","9","215230","0.0-2.0-0.0-0.0-1.2","18","1","2022-04-01 23:15:51","c79472ad15d8b617a4d57d5bf56a810f","116.250.248.47","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/99.0.4844.74 Safari/537.36 Edg/99.0.1150.55","WebKit","Edge","99.0.1150.55","Windows","10.0","null","null","","","
                        <div class=orange>
                        <div class=""centered"">
                            <p style=""font-size: 24px""><b>52%</b></p>
                        </div>","P_2_4_O",""
