"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","run_id","condition","recorded_at","source_code_version","ip","user_agent","device","browser","browser_version","platform","platform_version","rt","response","question_order","view_history","stimulus","trial_name","slider_start"
"true","false","[]","[]","[]","preload","0","179","0.0-0.0","21","1","2022-04-02 12:12:44","c79472ad15d8b617a4d57d5bf56a810f","110.23.86.169","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/98.0.4758.109 Safari/537.36","Macintosh","Chrome","98.0.4758.109","OS X","10_15_7","","","","","","",""
"","","","","","survey-multi-choice","1","4351","0.0-1.0-0.0","21","1","2022-04-02 12:12:44","c79472ad15d8b617a4d57d5bf56a810f","110.23.86.169","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/98.0.4758.109 Safari/537.36","Macintosh","Chrome","98.0.4758.109","OS X","10_15_7","4169.900000095367","{""Gender"":""Female""}","[0]","","","",""
"","","","","","survey-text","2","7302","0.0-1.0-1.0","21","1","2022-04-02 12:12:44","c79472ad15d8b617a4d57d5bf56a810f","110.23.86.169","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/98.0.4758.109 Safari/537.36","Macintosh","Chrome","98.0.4758.109","OS X","10_15_7","2947.5","{""Age"":""22""}","","","","",""
"","","","","","instructions","3","362202","0.0-1.0-2.0","21","1","2022-04-02 12:12:44","c79472ad15d8b617a4d57d5bf56a810f","110.23.86.169","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/98.0.4758.109 Safari/537.36","Macintosh","Chrome","98.0.4758.109","OS X","10_15_7","354898.10000014305","","","[{""page_index"":0,""viewing_time"":12718},{""page_index"":1,""viewing_time"":24035.900000095367},{""page_index"":2,""viewing_time"":101233},{""page_index"":3,""viewing_time"":31441.5},{""page_index"":4,""viewing_time"":33137.09999990463},{""page_index"":5,""viewing_time"":16574.700000047684},{""page_index"":6,""viewing_time"":17227.900000095367},{""page_index"":7,""viewing_time"":23545},{""page_index"":8,""viewing_time"":6233.599999904633},{""page_index"":9,""viewing_time"":43760.60000014305},{""page_index"":10,""viewing_time"":7003.799999952316},{""page_index"":11,""viewing_time"":21765.299999952316},{""page_index"":12,""viewing_time"":12368.5},{""page_index"":13,""viewing_time"":3852.4000000953674}]","","",""
"","","","","","html-keyboard-response","4","362605","0.0-2.0-0.0-0.0-0.0","21","1","2022-04-02 12:12:44","c79472ad15d8b617a4d57d5bf56a810f","110.23.86.169","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/98.0.4758.109 Safari/537.36","Macintosh","Chrome","98.0.4758.109","OS X","10_15_7","null","null","","","<p style=""font-size:64px;"">+</p>","Z_6_O",""
"","","","","","html-keyboard-response","5","363858","0.0-2.0-0.0-0.0-1.0","21","1","2022-04-02 12:12:44","c79472ad15d8b617a4d57d5bf56a810f","110.23.86.169","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/98.0.4758.109 Safari/537.36","Macintosh","Chrome","98.0.4758.109","OS X","10_15_7","null","null","","","
                        <div class=pink>
                        <div class=""centered"">
                            <p style=""font-size: 24px""><b>55%</b></p>
                        </div>","Z_6_O",""
"","","","","","html-keyboard-response","6","364259","0.0-2.0-0.0-0.0-0.1","21","1","2022-04-02 12:12:44","c79472ad15d8b617a4d57d5bf56a810f","110.23.86.169","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/98.0.4758.109 Safari/537.36","Macintosh","Chrome","98.0.4758.109","OS X","10_15_7","null","null","","","<p style=""font-size:64px;"">+</p>","Z_6_O",""
"","","","","","html-keyboard-response","7","365511","0.0-2.0-0.0-0.0-1.1","21","1","2022-04-02 12:12:44","c79472ad15d8b617a4d57d5bf56a810f","110.23.86.169","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/98.0.4758.109 Safari/537.36","Macintosh","Chrome","98.0.4758.109","OS X","10_15_7","null","null","","","
                        <div class=orange>
                        <div class=""centered"">
                            <p style=""font-size: 24px""><b>53%</b></p>
                        </div>","Z_6_O",""
"","","","","","html-keyboard-response","8","365916","0.0-2.0-0.0-0.0-0.2","21","1","2022-04-02 12:12:44","c79472ad15d8b617a4d57d5bf56a810f","110.23.86.169","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/98.0.4758.109 Safari/537.36","Macintosh","Chrome","98.0.4758.109","OS X","10_15_7","null","null","","","<p style=""font-size:64px;"">+</p>","Z_6_O",""
"","","","","","html-keyboard-response","9","367170","0.0-2.0-0.0-0.0-1.2","21","1","2022-04-02 12:12:44","c79472ad15d8b617a4d57d5bf56a810f","110.23.86.169","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/98.0.4758.109 Safari/537.36","Macintosh","Chrome","98.0.4758.109","OS X","10_15_7","null","null","","","
                        <div class=pink>
                        <div class=""centered"">
                            <p style=""font-size: 24px""><b>54%</b></p>
                        </div>","Z_6_O",""
"","","","","","html-keyboard-response","10","367575","0.0-2.0-0.0-0.0-0.3","21","1","2022-04-02 12:12:44","c79472ad15d8b617a4d57d5bf56a810f","110.23.86.169","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/98.0.4758.109 Safari/537.36","Macintosh","Chrome","98.0.4758.109","OS X","10_15_7","null","null","","","<p style=""font-size:64px;"">+</p>","Z_6_O",""
"","","","","","html-keyboard-response","11","368829","0.0-2.0-0.0-0.0-1.3","21","1","2022-04-02 12:12:44","c79472ad15d8b617a4d57d5bf56a810f","110.23.86.169","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/98.0.4758.109 Safari/537.36","Macintosh","Chrome","98.0.4758.109","OS X","10_15_7","null","null","","","
                        <div class=orange>
                        <div class=""centered"">
                            <p style=""font-size: 24px""><b>55%</b></p>
                        </div>","Z_6_O",""
"","","","","","html-keyboard-response","12","369234","0.0-2.0-0.0-0.0-0.4","21","1","2022-04-02 12:12:44","c79472ad15d8b617a4d57d5bf56a810f","110.23.86.169","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/98.0.4758.109 Safari/537.36","Macintosh","Chrome","98.0.4758.109","OS X","10_15_7","null","null","","","<p style=""font-size:64px;"">+</p>","Z_6_O",""
"","","","","","html-keyboard-response","13","370487","0.0-2.0-0.0-0.0-1.4","21","1","2022-04-02 12:12:44","c79472ad15d8b617a4d57d5bf56a810f","110.23.86.169","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/98.0.4758.109 Safari/537.36","Macintosh","Chrome","98.0.4758.109","OS X","10_15_7","null","null","","","
                        <div class=orange>
                        <div class=""centered"">
                            <p style=""font-size: 24px""><b>55%</b></p>
                        </div>","Z_6_O",""
"","","","","","html-keyboard-response","14","370888","0.0-2.0-0.0-0.0-0.5","21","1","2022-04-02 12:12:44","c79472ad15d8b617a4d57d5bf56a810f","110.23.86.169","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/98.0.4758.109 Safari/537.36","Macintosh","Chrome","98.0.4758.109","OS X","10_15_7","null","null","","","<p style=""font-size:64px;"">+</p>","Z_6_O",""
"","","","","","html-keyboard-response","15","372140","0.0-2.0-0.0-0.0-1.5","21","1","2022-04-02 12:12:44","c79472ad15d8b617a4d57d5bf56a810f","110.23.86.169","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/98.0.4758.109 Safari/537.36","Macintosh","Chrome","98.0.4758.109","OS X","10_15_7","null","null","","","
                        <div class=pink>
                        <div class=""centered"">
                            <p style=""font-size: 24px""><b>54%</b></p>
                        </div>","Z_6_O",""
"","","","","","html-keyboard-response","16","372545","0.0-2.0-0.0-1.0-0.0","21","1","2022-04-02 12:12:44","c79472ad15d8b617a4d57d5bf56a810f","110.23.86.169","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/98.0.4758.109 Safari/537.36","Macintosh","Chrome","98.0.4758.109","OS X","10_15_7","null","null","","","<p style=""font-size:64px;"">+</p>","Z_6_O",""
"","","","","","html-keyboard-response","17","373800","0.0-2.0-0.0-1.0-1.0","21","1","2022-04-02 12:12:44","c79472ad15d8b617a4d57d5bf56a810f","110.23.86.169","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/98.0.4758.109 Safari/537.36","Macintosh","Chrome","98.0.4758.109","OS X","10_15_7","null","null","","","
                        <div class=""orange"">
                        <div class=""centered"">
                            <p style=""font-size: 24px""><b>50%</b></p>
                        </div>","Z_6_O",""
"","","","","","html-slider-response","18","379111","0.0-2.0-0.0-2.0","21","1","2022-04-02 12:12:44","c79472ad15d8b617a4d57d5bf56a810f","110.23.86.169","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/98.0.4758.109 Safari/537.36","Macintosh","Chrome","98.0.4758.109","OS X","10_15_7","5309","25","","","<div style=""width: 500px; height: 100px;""><p>Place your bid for more information.</p></div>","infoBid","43"
"","","","","","html-keyboard-response","19","379516","0.0-2.0-0.0-3.0-0.0","21","1","2022-04-02 12:12:44","c79472ad15d8b617a4d57d5bf56a810f","110.23.86.169","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/98.0.4758.109 Safari/537.36","Macintosh","Chrome","98.0.4758.109","OS X","10_15_7","null","null","","","<p style=""font-size:64px;"">+</p>","Z_6_O",""
"","","","","","html-keyboard-response","20","380770","0.0-2.0-0.0-3.0-1.0","21","1","2022-04-02 12:12:44","c79472ad15d8b617a4d57d5bf56a810f","110.23.86.169","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/98.0.4758.109 Safari/537.36","Macintosh","Chrome","98.0.4758.109","OS X","10_15_7","null","null","","","<div class=""grey"">
                <div class=""centered"">
                    <p style=""font-size: 24px""><b>???</b></p>
                </div>","Z_6_O",""
"","","","","","html-keyboard-response","21","382738","0.0-2.0-0.0-4.0-0.0","21","1","2022-04-02 12:12:44","c79472ad15d8b617a4d57d5bf56a810f","110.23.86.169","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/98.0.4758.109 Safari/537.36","Macintosh","Chrome","98.0.4758.109","OS X","10_15_7","1966.3999998569489","f","","","
                      <div class=""row"">

                          <div class=""column"">
                              <div class=""orange""></div>
                              <div class=""leftChoiceText"">
                                  <p style=""font-size: 32px""><b>F</b></p>
                              </div>
                          </div>

                          <div class=""column"">
                              <div class=""pink""></div>
                              <div class=""rightChoiceText"">
                                  <p style=""font-size: 32px""><b>J</b></p>
                              </div>
                          </div>

                      </div>

                      <div class=""centeredTop"">
                          Which colour do you<br>
                          predict will win?
                      </div>","Z_6_O",""
"","","","","","html-keyboard-response","22","384242","0.0-2.0-0.0-4.0-1.0","21","1","2022-04-02 12:12:44","c79472ad15d8b617a4d57d5bf56a810f","110.23.86.169","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/98.0.4758.109 Safari/537.36","Macintosh","Chrome","98.0.4758.109","OS X","10_15_7","null","null","","","<p style=""font-size:64px;"">+</p>","Z_6_O",""
"","","","","","html-keyboard-response","23","384647","0.0-2.0-1.0-0.0-0.0","21","1","2022-04-02 12:12:44","c79472ad15d8b617a4d57d5bf56a810f","110.23.86.169","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/98.0.4758.109 Safari/537.36","Macintosh","Chrome","98.0.4758.109","OS X","10_15_7","null","null","","","<p style=""font-size:64px;"">+</p>","P_2_5_P",""
