"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","run_id","condition","recorded_at","source_code_version","ip","user_agent","device","browser","browser_version","platform","platform_version","rt","response","question_order","view_history","stimulus","trial_name","slider_start"
"true","false","[]","[]","[]","preload","0","37","0.0-0.0","43","1","2022-04-05 08:11:26","c79472ad15d8b617a4d57d5bf56a810f","128.250.0.105","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/99.0.4844.84 Safari/537.36","Macintosh","Chrome","99.0.4844.84","OS X","10_14_6","","","","","","",""
"","","","","","survey-multi-choice","1","2893","0.0-1.0-0.0","43","1","2022-04-05 08:11:26","c79472ad15d8b617a4d57d5bf56a810f","128.250.0.105","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/99.0.4844.84 Safari/537.36","Macintosh","Chrome","99.0.4844.84","OS X","10_14_6","2853.900000002235","{""Gender"":""Female""}","[0]","","","",""
"","","","","","survey-text","2","6853","0.0-1.0-1.0","43","1","2022-04-05 08:11:26","c79472ad15d8b617a4d57d5bf56a810f","128.250.0.105","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/99.0.4844.84 Safari/537.36","Macintosh","Chrome","99.0.4844.84","OS X","10_14_6","3957.5","{""Age"":""20""}","","","","",""
"","","","","","instructions","3","312949","0.0-1.0-2.0","43","1","2022-04-05 08:11:26","c79472ad15d8b617a4d57d5bf56a810f","128.250.0.105","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/99.0.4844.84 Safari/537.36","Macintosh","Chrome","99.0.4844.84","OS X","10_14_6","306094.8999999985","","","[{""page_index"":0,""viewing_time"":4294.89999999851},{""page_index"":1,""viewing_time"":24047.5},{""page_index"":2,""viewing_time"":55544},{""page_index"":3,""viewing_time"":5720.10000000149},{""page_index"":4,""viewing_time"":24031.89999999851},{""page_index"":5,""viewing_time"":12480.10000000149},{""page_index"":6,""viewing_time"":8896},{""page_index"":7,""viewing_time"":10191.800000000745},{""page_index"":8,""viewing_time"":5240.099999997765},{""page_index"":9,""viewing_time"":28632},{""page_index"":10,""viewing_time"":4120.10000000149},{""page_index"":11,""viewing_time"":95007.89999999851},{""page_index"":12,""viewing_time"":25184},{""page_index"":13,""viewing_time"":2703.900000002235}]","","",""
"","","","","","html-keyboard-response","4","313355","0.0-2.0-0.0-0.0-0.0","43","1","2022-04-05 08:11:26","c79472ad15d8b617a4d57d5bf56a810f","128.250.0.105","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/99.0.4844.84 Safari/537.36","Macintosh","Chrome","99.0.4844.84","OS X","10_14_6","null","null","","","<p style=""font-size:64px;"">+</p>","P_6_1_O",""
"","","","","","html-keyboard-response","5","314609","0.0-2.0-0.0-0.0-1.0","43","1","2022-04-05 08:11:26","c79472ad15d8b617a4d57d5bf56a810f","128.250.0.105","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/99.0.4844.84 Safari/537.36","Macintosh","Chrome","99.0.4844.84","OS X","10_14_6","null","null","","","
                        <div class=orange>
                        <div class=""centered"">
                            <p style=""font-size: 24px""><b>52%</b></p>
                        </div>","P_6_1_O",""
"","","","","","html-keyboard-response","6","315014","0.0-2.0-0.0-0.0-0.1","43","1","2022-04-05 08:11:26","c79472ad15d8b617a4d57d5bf56a810f","128.250.0.105","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/99.0.4844.84 Safari/537.36","Macintosh","Chrome","99.0.4844.84","OS X","10_14_6","null","null","","","<p style=""font-size:64px;"">+</p>","P_6_1_O",""
"","","","","","html-keyboard-response","7","316267","0.0-2.0-0.0-0.0-1.1","43","1","2022-04-05 08:11:26","c79472ad15d8b617a4d57d5bf56a810f","128.250.0.105","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/99.0.4844.84 Safari/537.36","Macintosh","Chrome","99.0.4844.84","OS X","10_14_6","null","null","","","
                        <div class=pink>
                        <div class=""centered"">
                            <p style=""font-size: 24px""><b>53%</b></p>
                        </div>","P_6_1_O",""
"","","","","","html-keyboard-response","8","316673","0.0-2.0-0.0-0.0-0.2","43","1","2022-04-05 08:11:26","c79472ad15d8b617a4d57d5bf56a810f","128.250.0.105","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/99.0.4844.84 Safari/537.36","Macintosh","Chrome","99.0.4844.84","OS X","10_14_6","null","null","","","<p style=""font-size:64px;"">+</p>","P_6_1_O",""
"","","","","","html-keyboard-response","9","317926","0.0-2.0-0.0-0.0-1.2","43","1","2022-04-05 08:11:26","c79472ad15d8b617a4d57d5bf56a810f","128.250.0.105","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/99.0.4844.84 Safari/537.36","Macintosh","Chrome","99.0.4844.84","OS X","10_14_6","null","null","","","
                        <div class=pink>
                        <div class=""centered"">
                            <p style=""font-size: 24px""><b>54%</b></p>
                        </div>","P_6_1_O",""
