"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","run_id","condition","recorded_at","source_code_version","ip","user_agent","device","browser","browser_version","platform","platform_version","rt","response","question_order","view_history","stimulus","trial_name","slider_start"
"true","false","[]","[]","[]","preload","0","23","0.0-0.0","44","1","2022-04-05 13:32:14","c79472ad15d8b617a4d57d5bf56a810f","125.63.20.238","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/99.0.4844.83 Safari/537.36","Macintosh","Chrome","99.0.4844.83","OS X","10_15_7","","","","","","",""
"","","","","","survey-multi-choice","1","65131","0.0-1.0-0.0","44","1","2022-04-05 13:32:14","c79472ad15d8b617a4d57d5bf56a810f","125.63.20.238","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/99.0.4844.83 Safari/537.36","Macintosh","Chrome","99.0.4844.83","OS X","10_15_7","65105.30000001192","{""Gender"":""Male""}","[0]","","","",""
"","","","","","survey-text","2","67364","0.0-1.0-1.0","44","1","2022-04-05 13:32:14","c79472ad15d8b617a4d57d5bf56a810f","125.63.20.238","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/99.0.4844.83 Safari/537.36","Macintosh","Chrome","99.0.4844.83","OS X","10_15_7","2223.2000000476837","{""Age"":""25""}","","","","",""
"","","","","","instructions","3","178788","0.0-1.0-2.0","44","1","2022-04-05 13:32:14","c79472ad15d8b617a4d57d5bf56a810f","125.63.20.238","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/99.0.4844.83 Safari/537.36","Macintosh","Chrome","99.0.4844.83","OS X","10_15_7","111420.30000001192","","","[{""page_index"":0,""viewing_time"":55664.200000047684},{""page_index"":1,""viewing_time"":8007.799999952316},{""page_index"":2,""viewing_time"":13304.600000023842},{""page_index"":3,""viewing_time"":5189.5},{""page_index"":2,""viewing_time"":4261.100000023842},{""page_index"":3,""viewing_time"":1036.3999999761581},{""page_index"":4,""viewing_time"":6658.699999988079},{""page_index"":5,""viewing_time"":1963.1000000238419},{""page_index"":6,""viewing_time"":1065.800000011921},{""page_index"":7,""viewing_time"":1291.5999999642372},{""page_index"":8,""viewing_time"":764.1999999880791},{""page_index"":9,""viewing_time"":4800},{""page_index"":10,""viewing_time"":904.3000000119209},{""page_index"":11,""viewing_time"":2380.699999988079},{""page_index"":12,""viewing_time"":750.4000000357628},{""page_index"":13,""viewing_time"":3373.800000011921}]","","",""
"","","","","","html-keyboard-response","4","179194","0.0-2.0-0.0-0.0-0.0","44","1","2022-04-05 13:32:14","c79472ad15d8b617a4d57d5bf56a810f","125.63.20.238","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/99.0.4844.83 Safari/537.36","Macintosh","Chrome","99.0.4844.83","OS X","10_15_7","null","null","","","<p style=""font-size:64px;"">+</p>","P_2_6_P",""
"","","","","","html-keyboard-response","5","180452","0.0-2.0-0.0-0.0-1.0","44","1","2022-04-05 13:32:14","c79472ad15d8b617a4d57d5bf56a810f","125.63.20.238","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/99.0.4844.83 Safari/537.36","Macintosh","Chrome","99.0.4844.83","OS X","10_15_7","null","null","","","
                        <div class=pink>
                        <div class=""centered"">
                            <p style=""font-size: 24px""><b>51%</b></p>
                        </div>","P_2_6_P",""
"","","","","","html-keyboard-response","6","180861","0.0-2.0-0.0-0.0-0.1","44","1","2022-04-05 13:32:14","c79472ad15d8b617a4d57d5bf56a810f","125.63.20.238","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/99.0.4844.83 Safari/537.36","Macintosh","Chrome","99.0.4844.83","OS X","10_15_7","null","null","","","<p style=""font-size:64px;"">+</p>","P_2_6_P",""
"","","","","","html-keyboard-response","7","182121","0.0-2.0-0.0-0.0-1.1","44","1","2022-04-05 13:32:14","c79472ad15d8b617a4d57d5bf56a810f","125.63.20.238","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/99.0.4844.83 Safari/537.36","Macintosh","Chrome","99.0.4844.83","OS X","10_15_7","null","null","","","
                        <div class=pink>
                        <div class=""centered"">
                            <p style=""font-size: 24px""><b>55%</b></p>
                        </div>","P_2_6_P",""
"","","","","","html-keyboard-response","8","182527","0.0-2.0-0.0-0.0-0.2","44","1","2022-04-05 13:32:14","c79472ad15d8b617a4d57d5bf56a810f","125.63.20.238","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/99.0.4844.83 Safari/537.36","Macintosh","Chrome","99.0.4844.83","OS X","10_15_7","null","null","","","<p style=""font-size:64px;"">+</p>","P_2_6_P",""
"","","","","","html-keyboard-response","9","183786","0.0-2.0-0.0-0.0-1.2","44","1","2022-04-05 13:32:14","c79472ad15d8b617a4d57d5bf56a810f","125.63.20.238","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/99.0.4844.83 Safari/537.36","Macintosh","Chrome","99.0.4844.83","OS X","10_15_7","null","null","","","
                        <div class=pink>
                        <div class=""centered"">
                            <p style=""font-size: 24px""><b>55%</b></p>
                        </div>","P_2_6_P",""
